id_cliente,nombre,email,ciudad,fecha_registro
1001,Joaquín,dup@htmail.com,Santiago,2024-11-23
1002,Valentina,dup@htmail.com,Talca,2024-09-08
1003,Alejandro,alejandro84@mail.cl,PUERTO MONTT,2024-03-05
1004,Emilia,emilia1@mail.cl,Iquique,2023-06-13
1005,Tomás,tomas98@mail.cl,Temuco,2023-04-05
1006,Renata,renata34@mail.cl,Valparaíso,2024-04-15
1007,Joaquín,joaquin38@mail.cl,RANCAGUA,2024-09-25
1008,Ignacio,,TALCA,2023-08-22
1009,Trinidad,trinidad49@mail.cl,Valparaíso,2024-10-12
1010,Ignacio,ignacio35@mail.cl,Concepción,2024-11-30
1011,Mateo,mateo32@mail.cl,Talca,2024-01-24
1012,Diego,diego99@mail.cl,Puerto Montt,2023-08-23
1013,Daniel,daniel73@mail.cl,Temuco,2023-11-19
1014,Benjamín,benjamin59@mail.cl,Iquique,2023-05-23
1015,Agustín,agustin55@mail.cl,Puerto Montt,2024-02-13
1016,Ignacio,,La serena,2023-02-18
1017,Joaquín,joaquin55@mail.cl,Concepción,2024-01-30
1018,Renata,renata71@mail.cl,Talca,2023-01-12
1019,Joaquín,joaquin44@mail.cl,Puerto Montt,2024-03-21
1020,Antonia,antonia93@mail.cl,IQUIQUE,2023-09-27
1021,Lucas,lucas39@mail.cl,Puerto Montt,2024-06-03
1022,Isabella,isabella68@mail.cl,Concepción,2024-09-05
1023,Catalina,catalina47@mail.cl,IQUIQUE,2023-11-11
1024,Agustín,,Santiago,2024-05-12
1025,Mateo,mateo61@mail.cl,Puerto montt,2023-06-19
1026,Josefa,josefa28@mail.cl,Puerto Montt,2024-12-07
1027,Isabella,isabella48@mail.cl,Antofagasta,2024-06-13
1028,Ana,ana3@mail.cl,Valparaíso,2023-08-24
