id_cliente,nombre,email,ciudad,fecha_registro,genero,edad,telefono
001000,Sofía ,sofa8@test.io,VALPARAÍSO,04/03/2023,F,140,56-2-2231821
001001,Joaquín,dup@correo.cl,La Serena,06/03/2023,Female,5,56-2-2260494
001002,Felipe,dup@correo.cl,Concepción,05/15/2024,F,5,912562241
1003,Mateo ,mateo88@empresa.co,Rancagua,17-04-24,M,1,(+56) 5768057
1004,Martina,martina54@ejemplo.org,Rancagua,2023-06-30,M,,981847639
1005,Sofía,sofa88@test.io,Rancagua,15/02/2024,,29,913618316
1006,Mateo,mateo33@ejemplo.org, iquique ,04/22/2024,masculino,121,927543491
1007,Alejandro,alejandro12@ejemplo.org,Concepción,08-07-24,Male,2,+56 9 9480 9073
1008,Carolina,carolina58@ejemplo.org, TEMUCO ,2024-04-26,femenino,5,56-2-2953970
1009,Lucas,,Rancagua,2023-03-28,M,2,56-2-2163486
1010,Camila,sin_email,La Serena,23-08-24,femenino,103,56-2-2867318
1011,Alejandro,alejandro20@correo.cl,Talca,11/30/2023,No responde,,+56 9 2601 9318
1012,Isabella,isabella62@test.io,Puerto Montt,2023-09-23,No responde,1,+56 9 8017 2198
1013,Sebastián,sebastin33@correo.cl,LA SERENA,06/25/2025,M,110,+56 9 6556 7902
1014,Alejandro,alejandro50@ejemplo.org,ANTOFAGASTA,2025-03-18,,1,(+56) 9710569
1015,Valentina,valentina10@ejemplo.org,VALPARAÍSO,2025-05-26,F,4,56-2-2045304
1016,ANTONIA,antonia81@ejemplo.org,La Serena,02-07-23,femenino,32,(+56) 9840352
1017,Tomás,toms65@ejemplo.org,La Serena,2024-12-24,masculino,19,(+56) 7580334
1018,Trinidad,, concepción ,27-09-23,femenino,51,+56 9 6842 3997
1019,Isabella ,, valparaíso ,08/02/2024,femenino,137,966329160
1020,Sebastián ,sebastin81@empresa.co, puerto montt ,31/05/2024,No responde,67,+56 9 2718 7170
1021,AGUSTÍN,agustn96@test.io,VALPARAÍSO,01/24/2025,femenino,115,(+56) 2643740
1022,Trinidad,trinidad10@test.io,Antofagasta,2024-09-28,F,106,+56 9 9462 5678
1023,ISABELLA,sin_email,Puerto Montt,10/03/2023,M,104,980982378
1024,Ignacio ,sin_email,Iquique,2025-01-14,masculino,36,+56 9 7525 2966
1025,TRINIDAD,trinidad76@mail.com,Rancagua,15/10/2023,F,2,(+56) 8811233
1026,BENJAMÍN,benjamn58@test.io,Antofagasta,2024-07-17,M,3,(+56) 4523597
1027,Vicente ,,Puerto Montt,08/14/2023,femenino,108,932095026
1028,Isabella,isabella53@test.io,ANTOFAGASTA,12-10-23,M,2,+56 9 8304 8075
1029,Carolina,,Puerto Montt,12/09/2023,M,,905045476
1030,Josefa,josefa13@mail.com, talca ,20/03/2025,F,120,(+56) 2245625
1031,MAXIMILIANO ,maximiliano83@empresa.co,La Serena,08/21/2023,F,,56-2-2070708
1032,Emilia,emilia14@test.io,Concepción,12/11/2024,Female,41,952790744
1033,Valentina,sin_email,Rancagua,2024-03-29,,1,(+56) 8895502
1034,Isabella,sin_email, rancagua ,19/02/2024,,20,+56 9 6555 6946
1035,Catalina,sin_email, la serena ,04/21/2024,No responde,4,931694511
1036,Valentina,valentina53@mail.com,Iquique,12/03/2024,F,2,(+56) 5496712
1037,Agustín,agustn16@ejemplo.org,Talca,2023-09-24,masculino,2,56-2-2415309
1038,Camila,,Iquique,04-04-24,F,30,56-2-2390318
1039,Josefa,,Talca,08-02-23,femenino,102,56-2-2428862
1040,Mateo ,mateo9@empresa.co,Rancagua,30/06/2024,Male,3,976037035
1041,Alejandro,alejandro26@empresa.co,La Serena,06/10/2023,F,5,953246742
1042,Antonia ,antonia9@mail.com,La Serena,02/14/2023,,105,56-2-2651221
1043,LUCAS,lucas21@empresa.co, concepción ,17/07/2023,Female,59,(+56) 4090934
1044,Ignacio,,Talca,04/02/2024,No responde,46,+56 9 2502 8241
001045,Catalina,,Puerto Montt,2025-03-14,F,55,947096651
1046,Diego,diego62@correo.cl,Talca,2023-02-07,M,3,985405246
1047,Ana,ana14@ejemplo.org,Rancagua,20-01-24,Female,37,969270678
1048,Catalina,catalina38@test.io,Rancagua,05/16/2023,M,18,930099528
1049,Benjamín,benjamn2@correo.cl, iquique ,11-06-25,masculino,1,+56 9 9480 9074
1050,VICENTE ,vicente14@mail.com, la serena ,09/14/2024,No responde,3,(+56) 9083613
1051,Pablo ,pablo14@ejemplo.org, santiago ,12-12-24,,127,+56 9 5346 5843
1052,Isabella,isabella50@ejemplo.org,Rancagua,12/10/2024,masculino,1,+56 9 6042 4472
1053,ANTONIA ,,CONCEPCIÓN,30/01/2023,F,104,+56 9 6954 4265
1054,Renata ,,Santiago,10/02/2025,No responde,56,945166387
001055,Trinidad ,trinidad99@test.io,ANTOFAGASTA,27/02/2024,masculino,130,56-2-2178647
1056,Sofía ,sofa24@empresa.co,Puerto Montt,2023-10-18,Male,26,(+56) 5366101
1057,Valentina,valentina39@ejemplo.org,Puerto Montt,2025-06-24,masculino,5,962163898
1058,Martina,martina65@correo.cl, talca ,11-09-23,Female,26,(+56) 3639402
001059,Maximiliano,maximiliano82@mail.com,RANCAGUA,05/24/2025,Male,56,(+56) 9616888
1005,Sofía,sofa88@test.io,Rancagua,15/02/2024,,29,913618316
